Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,blackout (product.metafields.custom.blackout),electrical (product.metafields.custom.electrical),finish (product.metafields.custom.finish),next_day (product.metafields.custom.next_day),perfectfit (product.metafields.custom.perfectfit),pvc (product.metafields.custom.pvc),salesfire (product.metafields.custom.salesfire),sample (product.metafields.custom.sample),subtitle (product.metafields.custom.subtitle),verticalslatlink (product.metafields.custom.verticalslatlink),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Blind/Shade style (product.metafields.shopify.blind-shade-style),Color (product.metafields.shopify.color-pattern),Control technology (product.metafields.shopify.control-technology),Light control (product.metafields.shopify.light-control),Window treatment material (product.metafields.shopify.window-treatment-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Status
tr9457-brushed-steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/brushed-aluminium-3-500x500.jpg?v=1776701394,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr9457-brushed-steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/brushed-aluminium-4-500x500.jpg?v=1776701394,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr9457-brushed-steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/brushed-aluminium-5-500x500.jpg?v=1776701394,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr9457-brushed-steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/brushed-aluminium-6.png?v=1776701395,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr9457-brushed-steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/brushed-aluminium-7.jpg?v=1776701395,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr9457-brushed-steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/brushed-aluminium.jpg?v=1776701396,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy-stick-tr1858-black,Easy Stick TR1858 Black Metal,,1Clickblinds,Home & Garden > Decor > Window Treatments > Window Blinds & Shades > Blinds,,,true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,65.00,68.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/black-1-500x500.jpg?v=1776701049,1,,false,,,2885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
easy-stick-tr1858-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/black-2-500x500.jpg?v=1776701049,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy-stick-tr1858-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/black-2.jpg?v=1776701050,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy-stick-tr1858-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/black-3-500x500.jpg?v=1776701049,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy-stick-tr1858-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/black-4-500x500.jpg?v=1776701049,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy-stick-tr1858-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/black-5-500x500.jpg?v=1776701049,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy-stick-tr1858-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/black-6.png?v=1776701049,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy-stick-tr1858-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/black-500x500.jpg?v=1776701049,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy-stick-tr-0196-matt-white,Easy Stick TR 0196 Matt White Metal,,1Clickblinds,Home & Garden > Decor > Window Treatments > Window Blinds & Shades > Blinds,,,true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,65.00,68.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/white-1-500x500.jpg?v=1776699849,1,,false,,,2885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
easy-stick-tr-0196-matt-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/white-2-500x500.jpg?v=1776699849,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy-stick-tr-0196-matt-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/white-3-500x500.jpg?v=1776699849,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy-stick-tr-0196-matt-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/white-4-500x500.jpg?v=1776699849,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy-stick-tr-0196-matt-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0795/7522/0570/files/white-5-500x500.jpg?v=1776699849,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
